"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"Judge of the Superior Court (Vote For 2)","Amanda Green-Hawkins","DEM",153648,31.64,957735,0,1322,1322,"0","0"
2,"Judge of the Superior Court (Vote For 2)","Daniel D. McCaffery","DEM",153943,31.70,957735,0,1322,1322,"0","0"
3,"Judge of the Superior Court (Vote For 2)","Megan McCarthy King","REP",94703,19.50,957735,0,1322,1322,"0","0"
4,"Judge of the Superior Court (Vote For 2)","Christylee Peck","REP",82703,17.03,957735,0,1322,1322,"0","0"
5,"Judge of the Superior Court (Vote For 2)","WRITE-IN","",576,0.12,957735,0,1322,1322,"0","0"
6,"Judge of the Court of Common Pleas (Vote For 1)","Mary McGinley","D/R",237619,99.28,957735,0,1322,1322,"0","0"
7,"Judge of the Court of Common Pleas (Vote For 1)","WRITE-IN","",1730,0.72,957735,0,1322,1322,"0","0"
8,"County Chief Executive (Vote For 1)","Rich Fitzgerald","DEM",181448,68.03,957735,0,1322,1322,"0","0"
9,"County Chief Executive (Vote For 1)","Matt Drozd","REP",84087,31.52,957735,0,1322,1322,"0","0"
10,"County Chief Executive (Vote For 1)","WRITE-IN","",1197,0.45,957735,0,1322,1322,"0","0"
11,"County Controller (Vote For 1)","Chelsa Wagner","DEM",166757,63.19,957735,0,1322,1322,"0","0"
12,"County Controller (Vote For 1)","Brooke D. Nadonley","REP",96731,36.65,957735,0,1322,1322,"0","0"
13,"County Controller (Vote For 1)","WRITE-IN","",427,0.16,957735,0,1322,1322,"0","0"
14,"District Attorney (Vote For 1)","Stephen A. Zappala, Jr.","D/R",154015,57.08,957735,0,1322,1322,"0","0"
15,"District Attorney (Vote For 1)","Lisa Middleman","IND",115404,42.77,957735,0,1322,1322,"0","0"
16,"District Attorney (Vote For 1)","WRITE-IN","",409,0.15,957735,0,1322,1322,"0","0"
17,"County Treasurer (Vote For 1)","John K. Weinstein","D/R",246572,99.44,957735,0,1322,1322,"0","0"
18,"County Treasurer (Vote For 1)","WRITE-IN","",1379,0.56,957735,0,1322,1322,"0","0"
19,"Member of County Council At-Large (Vote For 1)","Bethany Hallam","DEM",168350,64.67,957735,0,1322,1322,"0","0"
20,"Member of County Council At-Large (Vote For 1)","Samuel DeMarco, III","REP",91615,35.19,957735,0,1322,1322,"0","0"
